1:1	بِسۡمِ ٱللَّهِ ٱلرَّحۡمَـٰنِ ٱلرَّحِيمِ	bismi lːaːhi rːaħmaːni rːaħiːm
2:53	وَإِذۡ ءَاتَيۡنَا مُوسَى ٱلۡكِتَـٰبَ وَٱلۡفُرۡقَانَ لَعَلَّكُمۡ تَهۡتَدُونَ	waʔið ʔaːtajnaː muːsaː lkitaːba walfurqaːna laʕalːakum tahtaduːn
2:54	وَإِذۡ قَالَ مُوسَىٰ لِقَوۡمِهِۦ يَـٰقَوۡمِ إِنَّكُمۡ ظَلَمۡتُمۡ أَنفُسَكُم بِٱتِّخَاذِكُمُ ٱلۡعِجۡلَ فَتُوبُوٓاۡ إِلَىٰ بَارِئِكُمۡ فَٱقۡتُلُوٓاۡ أَنفُسَكُمۡ ذٰلِكُمۡ خَيۡرٌ لَّكُمۡ عِندَ بَارِئِكُمۡ فَتَابَ عَلَيۡكُمۡ‌ۚ إِنَّهُۥ هُوَ ٱلتَّوَّابُ ٱلرَّحِيمُ	waʔið qaːla muːsaː liqawmihiː jaːqawmi ʔinː̃akum ðˤalamtum ʔaⁿfusakuᵐ bitːixaːðikumu lʕid͡ʒᵊla fatuːbuːː ʔilaː baːriʔikum faqᵊtuluːː ʔaⁿfusakum ðaːlikum xajru lːakum ʕiⁿda baːriʔikum fataːba ʕalajkum ʔinː̃ahuː huwa tːawːaːbu rːaħiːm
2:55	وَإِذۡ قُلۡتُمۡ يَـٰمُوسَىٰ لَن نُّؤۡمِنَ لَكَ حَتَّىٰ نَرَى ٱللَّهَ جَهۡرَةً فَأَخَذَتۡكُمُ ٱلصَّـٰعِقَةُ وَأَنتُمۡ تَنظُرُونَ	waʔið qultum jaːmuːsaː la nː̃uʔmina laka ħatːaː naraː lːaːha d͡ʒahrataⁿ faʔaxaðatkumu sˤːaːʕiqatu waʔaⁿtum taⁿðˤuruːn
2:56	ثُمَّ بَعَثۡنَـٰكُم مِّنۢ بَعۡدِ مَوۡتِكُمۡ لَعَلَّكُمۡ تَشۡكُرُونَ	θumː̃a baʕaθnaːku mː̃iᵐ baʕdi mawtikum laʕalːakum taʃkuruːn
2:57	وَظَلَّلۡنَا عَلَيۡكُمُ ٱلۡغَمَامَ وَأَنزَلۡنَا عَلَيۡكُمُ ٱلۡمَنَّ وَٱلسَّلۡوَىٰ‌ۖ كُلُواۡ مِن طَيِّبَـٰتِ مَا رَزَقۡنَـٰكُمۡ‌ۖ وَمَا ظَلَمُونَا وَلَـٰكِن كَانُوٓاۡ أَنفُسَهُمۡ يَظۡلِمُونَ	waðˤalːalnaː ʕalajkumu lɣamaːma waʔaⁿzalnaː ʕalajkumu lmanː̃a wasːalwaː kuluː miⁿ tˤajːibaːti maː razaqᵊnaːkum wamaː ðˤalamuːnaː walaːkiⁿ kaːnuːː ʔaⁿfusahum jaðˤlimuːn
2:58	وَإِذۡ قُلۡنَا ٱدۡخُلُواۡ هَـٰذِهِ ٱلۡقَرۡيَةَ فَكُلُواۡ مِنۡهَا حَيۡثُ شِئۡتُمۡ رَغَدًا وَٱدۡخُلُواۡ ٱلۡبَابَ سُجَّدًا وَقُولُواۡ حِطَّةٌ نَّغۡفِرۡ لَكُمۡ خَطَـٰيَـٰكُمۡ‌ۚ وَسَنَزِيدُ ٱلۡمُحۡسِنِينَ	waʔið qulnaː dᵊxuluː haːðihi lqarjata fakuluː minhaː ħajθu ʃiʔtum raɣada w̃ːadᵊxuluː lbaːba sud͡ʒːada w̃ːaquːluː ħitˤːatu nː̃aɣfir lakum xatˤaːjaːkum wasanaziːdu lmuħsiniːn
2:59	فَبَدَّلَ ٱلَّذِينَ ظَلَمُواۡ قَوۡلاً غَيۡرَ ٱلَّذِى قِيلَ لَهُمۡ فَأَنزَلۡنَا عَلَى ٱلَّذِينَ ظَلَمُواۡ رِجۡزًا مِّنَ ٱلسَّمَآءِ بِمَا كَانُواۡ يَفۡسُقُونَ	fabadːala lːaðiːna ðˤalamuː qawlan ɣajra lːaðiː qiːla lahum faʔaⁿzalnaː ʕalaː lːaðiːna ðˤalamuː rid͡ʒᵊza mː̃ina sːamaːːʔi bimaː kaːnuː jafsuquːn
2:60	۞وَإِذِ ٱسۡتَسۡقَىٰ مُوسَىٰ لِقَوۡمِهِۦ فَقُلۡنَا ٱضۡرِب بِّعَصَاكَ ٱلۡحَجَرَ‌ۖ فَٱنفَجَرَتۡ مِنۡهُ ٱثۡنَتَا عَشۡرَةَ عَيۡنًا‌ۖ قَدۡ عَلِمَ كُلُّ أُنَاسٍ مَّشۡرَبَهُمۡ‌ۖ كُلُواۡ وَٱشۡرَبُواۡ مِن رِّزۡقِ ٱللَّهِ وَلَا تَعۡثَوۡاۡ فِى ٱلۡأَرۡضِ مُفۡسِدِينَ	waʔiði stasqaː muːsaː liqawmihiː faqulnaː dˤri bːiʕasˤaːka lħad͡ʒara faⁿfad͡ʒarat minhu θnataː ʕaʃrata ʕajnaⁿ qadᵊ ʕalima kulːu ʔunaːsi mː̃aʃrabahum kuluː waʃrabuː mi rːizqi lːaːhi walaː taʕθaw fiː lʔardˤi mufsidiːn
2:61	وَإِذۡ قُلۡتُمۡ يَـٰمُوسَىٰ لَن نَّصۡبِرَ عَلَىٰ طَعَامٍ وٰحِدٍ فَٱدۡعُ لَنَا رَبَّكَ يُخۡرِجۡ لَنَا مِمَّا تُنۢبِتُ ٱلۡأَرۡضُ مِنۢ بَقۡلِهَا وَقِثَّآئِهَا وَفُومِهَا وَعَدَسِهَا وَبَصَلِهَا‌ۖ قَالَ أَتَسۡتَبۡدِلُونَ ٱلَّذِى هُوَ أَدۡنَىٰ بِٱلَّذِى هُوَ خَيۡرٌ‌ۚ ٱهۡبِطُواۡ مِصۡرًا فَإِنَّ لَكُم مَّا سَأَلۡتُمۡ‌ۗ وَضُرِبَتۡ عَلَيۡهِمُ ٱلذِّلَّةُ وَٱلۡمَسۡكَنَةُ وَبَآءُو بِغَضَبٍ مِّنَ ٱللَّهِ‌ۗ ذٰلِكَ بِأَنَّهُمۡ كَانُواۡ يَكۡفُرُونَ بِـَٔـايَـٰتِ ٱللَّهِ وَيَقۡتُلُونَ ٱلنَّبِيِّــۧنَ بِغَيۡرِ ٱلۡحَقِّ‌ۗ ذٰلِكَ بِمَا عَصَواۡ وَّكَانُواۡ يَعۡتَدُونَ	waʔið qultum jaːmuːsaː la nː̃asˤbira ʕalaː tˤaʕaːmi aːħ̃ːidiⁿ fadᵊʕu lanaː rabːaka juxrid͡ʒᵊ lanaː mimː̃aː tuᵐbitu lʔardˤu miᵐ baqᵊlihaː waqiθːaːːʔihaː wafuːmihaː waʕadasihaː wabasˤalihaː qaːla ʔatastabᵊdiluːna lːaðiː huwa ʔadᵊnaː bilːaðiː huwa xajrun hbitˤuː misˤraⁿ faʔinː̃a laku mː̃aː saʔaltum wadˤuribat ʕalajhimu ðːilːatu walmaskanatu wabaːːʔuː biɣadˤabi mː̃ina lːaːhi ðaːlika biʔanː̃ahum kaːnuː jakfuruːna biʔaːjaːti lːaːhi wajaqᵊtuluːna nː̃abijːiːna biɣajri lħaqːi ðaːlika bimaː ʕasˤa wːakaːnuː jaʕtaduːn
2:62	إِنَّ ٱلَّذِينَ ءَامَنُواۡ وَٱلَّذِينَ هَادُواۡ وَٱلنَّصَـٰرَىٰ وَٱلصَّـٰبِــِٔينَ مَنۡ ءَامَنَ بِٱللَّهِ وَٱلۡيَوۡمِ ٱلۡأَخِرِ وَعَمِلَ صَـٰلِحًا فَلَهُمۡ أَجۡرُهُمۡ عِندَ رَبِّهِمۡ وَلَا خَوۡفٌ عَلَيۡهِمۡ وَلَا هُمۡ يَحۡزَنُونَ	ʔinː̃a lːaðiːna ʔaːmanuː walːaðiːna haːduː wanː̃asˤaːraː wasˤːaːbiʔiːna man ʔaːmana bilːaːhi waljawmi lʔaxiri waʕamila sˤaːliħaⁿ falahum ʔad͡ʒᵊruhum ʕiⁿda rabːihim walaː xawfun ʕalajhim walaː hum jaħzanuːn
2:63	وَإِذۡ أَخَذۡنَا مِيثَـٰقَكُمۡ وَرَفَعۡنَا فَوۡقَكُمُ ٱلطُّورَ خُذُواۡ مَآ ءَاتَيۡنَـٰكُم بِقُوَّةٍ وَٱذۡكُرُواۡ مَا فِيهِ لَعَلَّكُمۡ تَتَّقُونَ	waʔið ʔaxaðnaː miːθaːqakum warafaʕnaː fawqakumu tˤːuːra xuðuː maːː ʔaːtajnaːkuᵐ biquwːati w̃ːaðkuruː maː fiːhi laʕalːakum tatːaquːn
2:64	ثُمَّ تَوَلَّيۡتُم مِّنۢ بَعۡدِ ذٰلِكَ‌ۖ فَلَوۡلَا فَضۡلُ ٱللَّهِ عَلَيۡكُمۡ وَرَحۡمَتُهُۥ لَكُنتُم مِّنَ ٱلۡخَـٰسِرِينَ	θumː̃a tawalːajtu mː̃iᵐ baʕdi ðaːlika falawlaː fadˤlu lːaːhi ʕalajkum waraħmatuhuː lakuⁿtu mː̃ina lxaːsiriːn
2:65	وَلَقَدۡ عَلِمۡتُمُ ٱلَّذِينَ ٱعۡتَدَوۡاۡ مِنكُمۡ فِى ٱلسَّبۡتِ فَقُلۡنَا لَهُمۡ كُونُواۡ قِرَدَةً خَـٰسِــِٔينَ	walaqadᵊ ʕalimtumu lːaðiːna ʕtadaw miⁿkum fiː sːabᵊti faqulnaː lahum kuːnuː qiradatan xaːsiʔiːn
2:66	فَجَعَلۡنَـٰهَا نَكَـٰلاً لِّمَا بَيۡنَ يَدَيۡهَا وَمَا خَلۡفَهَا وَمَوۡعِظَةً لِّلۡمُتَّقِينَ	fad͡ʒaʕalnaːhaː nakaːla lːimaː bajna jadajhaː wamaː xalfahaː wamawʕiðˤata lːilmutːaqiːn
2:67	وَإِذۡ قَالَ مُوسَىٰ لِقَوۡمِهِۦٓ إِنَّ ٱللَّهَ يَأۡمُرُكُمۡ أَن تَذۡبَحُواۡ بَقَرَةً‌ۖ قَالُوٓاۡ أَتَتَّخِذُنَا هُزُوًا‌ۖ قَالَ أَعُوذُ بِٱللَّهِ أَنۡ أَكُونَ مِنَ ٱلۡجَـٰهِلِينَ	waʔið qaːla muːsaː liqawmihiːː ʔinː̃a lːaːha jaʔmurukum ʔaⁿ taðbaħuː baqarataⁿ qaːluːː ʔatatːaxiðunaː huzuwaⁿ qaːla ʔaʕuːðu bilːaːhi ʔan ʔakuːna mina ld͡ʒaːhiliːn
2:68	قَالُواۡ ٱدۡعُ لَنَا رَبَّكَ يُبَيِّن لَّنَا مَا هِىَ‌ۚ قَالَ إِنَّهُۥ يَقُولُ إِنَّهَا بَقَرَةٌ لَّا فَارِضٌ وَلَا بِكۡرٌ عَوَانُۢ بَيۡنَ ذٰلِكَ‌ۖ فَٱفۡعَلُواۡ مَا تُؤۡمَرُونَ	qaːluː dᵊʕu lanaː rabːaka jubajːi lːanaː maː hija qaːla ʔinː̃ahuː jaquːlu ʔinː̃ahaː baqaratu lːaː faːridˤu w̃ːalaː bikrun ʕawaːnuᵐ bajna ðaːlika fafʕaluː maː tuʔmaruːn
2:69	قَالُواۡ ٱدۡعُ لَنَا رَبَّكَ يُبَيِّن لَّنَا مَا لَوۡنُهَا‌ۚ قَالَ إِنَّهُۥ يَقُولُ إِنَّهَا بَقَرَةٌ صَفۡرَآءُ فَاقِعٌ لَّوۡنُهَا تَسُرُّ ٱلنَّـٰظِرِينَ	qaːluː dᵊʕu lanaː rabːaka jubajːi lːanaː maː lawnuhaː qaːla ʔinː̃ahuː jaquːlu ʔinː̃ahaː baqaratuⁿ sˤafraːːʔu faːqiʕu lːawnuhaː tasurːu nː̃aːðˤiriːn
2:70	قَالُواۡ ٱدۡعُ لَنَا رَبَّكَ يُبَيِّن لَّنَا مَا هِىَ إِنَّ ٱلۡبَقَرَ تَشَـٰبَهَ عَلَيۡنَا وَإِنَّآ إِن شَآءَ ٱللَّهُ لَمُهۡتَدُونَ	qaːluː dᵊʕu lanaː rabːaka jubajːi lːanaː maː hija ʔinː̃a lbaqara taʃaːbaha ʕalajnaː waʔinː̃aːː ʔiⁿ ʃaːːʔa lːaːhu lamuhtaduːn
2:71	قَالَ إِنَّهُۥ يَقُولُ إِنَّهَا بَقَرَةٌ لَّا ذَلُولٌ تُثِيرُ ٱلۡأَرۡضَ وَلَا تَسۡقِى ٱلۡحَرۡثَ مُسَلَّمَةٌ لَّا شِيَةَ فِيهَا‌ۚ قَالُواۡ ٱلۡـَٔـٰنَ جِئۡتَ بِٱلۡحَقِّ‌ۚ فَذَبَحُوهَا وَمَا كَادُواۡ يَفۡعَلُونَ	qaːla ʔinː̃ahuː jaquːlu ʔinː̃ahaː baqaratu lːaː ðaluːluⁿ tuθiːru lʔardˤa walaː tasqiː lħarθa musalːamatu lːaː ʃijata fiːhaː qaːluː lʔaːna d͡ʒiʔta bilħaqːi faðabaħuːhaː wamaː kaːduː jafʕaluːn
2:72	وَإِذۡ قَتَلۡتُمۡ نَفۡسًا فَٱدّٰرٰٔۡتُمۡ فِيهَا‌ۖ وَٱللَّهُ مُخۡرِجٌ مَّا كُنتُمۡ تَكۡتُمُونَ	waʔið qataltum nafsaⁿ fadːaːrʔtum fiːhaː walːaːhu muxrid͡ʒu mː̃aː kuⁿtum taktumuːn
2:73	فَقُلۡنَا ٱضۡرِبُوهُ بِبَعۡضِهَا‌ۚ كَذٰلِكَ يُحۡىِ ٱللَّهُ ٱلۡمَوۡتَىٰ وَيُرِيكُمۡ ءَايَـٰتِهِۦ لَعَلَّكُمۡ تَعۡقِلُونَ	faqulnaː dˤribuːhu bibaʕdˤihaː kaðaːlika juħji lːaːhu lmawtaː wajuriːkum ʔaːjaːtihiː laʕalːakum taʕqiluːn
2:74	ثُمَّ قَسَتۡ قُلُوبُكُم مِّنۢ بَعۡدِ ذٰلِكَ فَهِىَ كَٱلۡحِجَارَةِ أَوۡ أَشَدُّ قَسۡوَةً‌ۚ وَإِنَّ مِنَ ٱلۡحِجَارَةِ لَمَا يَتَفَجَّرُ مِنۡهُ ٱلۡأَنۡهَـٰرُ‌ۚ وَإِنَّ مِنۡهَا لَمَا يَشَّقَّقُ فَيَخۡرُجُ مِنۡهُ ٱلۡمَآءُ‌ۚ وَإِنَّ مِنۡهَا لَمَا يَهۡبِطُ مِنۡ خَشۡيَةِ ٱللَّهِ‌ۗ وَمَا ٱللَّهُ بِغَـٰفِلٍ عَمَّا تَعۡمَلُونَ	θumː̃a qasat quluːbuku mː̃iᵐ baʕdi ðaːlika fahija kalħid͡ʒaːrati ʔaw ʔaʃadːu qaswata w̃ːaʔinː̃a mina lħid͡ʒaːrati lamaː jatafad͡ʒːaru minhu lʔanhaːru waʔinː̃a minhaː lamaː jaʃːaqːaqu fajaxrud͡ʒu minhu lmaːːʔu waʔinː̃a minhaː lamaː jahbitˤu min xaʃjati lːaːhi wamaː lːaːhu biɣaːfilin ʕamː̃aː taʕmaluːn
2:75	۞أَفَتَطۡمَعُونَ أَن يُؤۡمِنُواۡ لَكُمۡ وَقَدۡ كَانَ فَرِيقٌ مِّنۡهُمۡ يَسۡمَعُونَ كَلَـٰمَ ٱللَّهِ ثُمَّ يُحَرِّفُونَهُۥ مِنۢ بَعۡدِ مَا عَقَلُوهُ وَهُمۡ يَعۡلَمُونَ	ʔafatatˤᵊmaʕuːna ʔa j̃ːuʔminuː lakum waqadᵊ kaːna fariːqu mː̃inhum jasmaʕuːna kalaːma lːaːhi θumː̃a juħarːifuːnahuː miᵐ baʕdi maː ʕaqaluːhu wahum jaʕlamuːn
2:76	وَإِذَا لَقُواۡ ٱلَّذِينَ ءَامَنُواۡ قَالُوٓاۡ ءَامَنَّا وَإِذَا خَلَا بَعۡضُهُمۡ إِلَىٰ بَعۡضٍ قَالُوٓاۡ أَتُحَدِّثُونَهُم بِمَا فَتَحَ ٱللَّهُ عَلَيۡكُمۡ لِيُحَآجُّوكُم بِهِۦ عِندَ رَبِّكُمۡ‌ۚ أَفَلَا تَعۡقِلُونَ	waʔiðaː laquː lːaðiːna ʔaːmanuː qaːluːː ʔaːmanː̃aː waʔiðaː xalaː baʕdˤuhum ʔilaː baʕdˤiⁿ qaːluːː ʔatuħadːiθuːnahuᵐ bimaː fataħa lːaːhu ʕalajkum lijuħaːːːd͡ʒːuːkuᵐ bihiː ʕiⁿda rabːikum ʔafalaː taʕqiluːn
2:77	أَوَلَا يَعۡلَمُونَ أَنَّ ٱللَّهَ يَعۡلَمُ مَا يُسِرُّونَ وَمَا يُعۡلِنُونَ	ʔawalaː jaʕlamuːna ʔanː̃a lːaːha jaʕlamu maː jusirːuːna wamaː juʕlinuːn
2:78	وَمِنۡهُمۡ أُمِّيُّونَ لَا يَعۡلَمُونَ ٱلۡكِتَـٰبَ إِلَّآ أَمَانِىَّ وَإِنۡ هُمۡ إِلَّا يَظُنُّونَ	waminhum ʔumː̃ijːuːna laː jaʕlamuːna lkitaːba ʔilːaːː ʔamaːnijːa waʔin hum ʔilːaː jaðˤunː̃uːn
2:79	فَوَيۡلٌ لِّلَّذِينَ يَكۡتُبُونَ ٱلۡكِتَـٰبَ بِأَيۡدِيهِمۡ ثُمَّ يَقُولُونَ هَـٰذَا مِنۡ عِندِ ٱللَّهِ لِيَشۡتَرُواۡ بِهِۦ ثَمَنًا قَلِيلاً‌ۖ فَوَيۡلٌ لَّهُم مِّمَّا كَتَبَتۡ أَيۡدِيهِمۡ وَوَيۡلٌ لَّهُم مِّمَّا يَكۡسِبُونَ	fawajlu lːilːaðiːna jaktubuːna lkitaːba biʔajdiːhim θumː̃a jaquːluːna haːðaː min ʕiⁿdi lːaːhi lijaʃtaruː bihiː θamanaⁿ qaliːlaⁿ fawajlu lːahu mː̃imː̃aː katabat ʔajdiːhim wawajlu lːahu mː̃imː̃aː jaksibuːn
2:80	وَقَالُواۡ لَن تَمَسَّنَا ٱلنَّارُ إِلَّآ أَيَّامًا مَّعۡدُودَةً‌ۚ قُلۡ أَتَّخَذۡتُمۡ عِندَ ٱللَّهِ عَهۡدًا فَلَن يُخۡلِفَ ٱللَّهُ عَهۡدَهُۥٓ‌ۖ أَمۡ تَقُولُونَ عَلَى ٱللَّهِ مَا لَا تَعۡلَمُونَ	waqaːluː laⁿ tamasːanaː nː̃aːru ʔilːaːː ʔajːaːma mː̃aʕduːdataⁿ qul ʔatːaxaðtum ʕiⁿda lːaːhi ʕahdaⁿ fala j̃ːuxlifa lːaːhu ʕahdahuːː ʔam taquːluːna ʕalaː lːaːhi maː laː taʕlamuːn
2:81	بَلَىٰ مَن كَسَبَ سَيِّئَةً وَأَحَـٰطَتۡ بِهِۦ خَطِيٓــَٔتُهُۥ فَأُوۡلَـٰٓئِكَ أَصۡحَـٰبُ ٱلنَّارِ‌ۖ هُمۡ فِيهَا خَـٰلِدُونَ	balaː maⁿ kasaba sajːiʔata w̃ːaʔaħaːtˤat bihiː xatˤiːːʔatuhuː faʔulaːːʔika ʔasˤħaːbu nː̃aːri hum fiːhaː xaːliduːn
2:82	وَٱلَّذِينَ ءَامَنُواۡ وَعَمِلُواۡ ٱلصَّـٰلِحَـٰتِ أُوۡلَـٰٓئِكَ أَصۡحَـٰبُ ٱلۡجَنَّةِ‌ۖ هُمۡ فِيهَا خَـٰلِدُونَ	walːaðiːna ʔaːmanuː waʕamiluː sˤːaːliħaːti ʔulaːːʔika ʔasˤħaːbu ld͡ʒanː̃ati hum fiːhaː xaːliduːn
2:83	وَإِذۡ أَخَذۡنَا مِيثَـٰقَ بَنِىٓ إِسۡرٰٓءِيلَ لَا تَعۡبُدُونَ إِلَّا ٱللَّهَ وَبِٱلۡوٰلِدَيۡنِ إِحۡسَانًا وَذِى ٱلۡقُرۡبَىٰ وَٱلۡيَتَـٰمَىٰ وَٱلۡمَسَـٰكِينِ وَقُولُواۡ لِلنَّاسِ حُسۡنًا وَأَقِيمُواۡ ٱلصَّلَوٰةَ وَءَاتُواۡ ٱلزَّكَوٰةَ ثُمَّ تَوَلَّيۡتُمۡ إِلَّا قَلِيلاً مِّنكُمۡ وَأَنتُم مُّعۡرِضُونَ	waʔið ʔaxaðnaː miːθaːqa baniːː ʔisraːːʔiːla laː taʕbuduːna ʔilːaː lːaːha wabilwaːlidajni ʔiħsaːna w̃ːaðiː lqurbaː waljataːmaː walmasaːkiːni waquːluː lilnː̃aːsi ħusna w̃ːaʔaqiːmuː sˤːalaːta waʔaːtuː zːakaːta θumː̃a tawalːajtum ʔilːaː qaliːla mː̃iⁿkum waʔaⁿtu mː̃uʕridˤuːn
2:84	وَإِذۡ أَخَذۡنَا مِيثَـٰقَكُمۡ لَا تَسۡفِكُونَ دِمَآءَكُمۡ وَلَا تُخۡرِجُونَ أَنفُسَكُم مِّن دِيَـٰرِكُمۡ ثُمَّ أَقۡرَرۡتُمۡ وَأَنتُمۡ تَشۡهَدُونَ	waʔið ʔaxaðnaː miːθaːqakum laː tasfikuːna dimaːːʔakum walaː tuxrid͡ʒuːna ʔaⁿfusaku mː̃iⁿ dijaːrikum θumː̃a ʔaqᵊrartum waʔaⁿtum taʃhaduːn
2:85	ثُمَّ أَنتُمۡ هَـٰٓؤُلَآءِ تَقۡتُلُونَ أَنفُسَكُمۡ وَتُخۡرِجُونَ فَرِيقًا مِّنكُم مِّن دِيَـٰرِهِمۡ تَظَـٰهَرُونَ عَلَيۡهِم بِٱلۡإِثۡمِ وَٱلۡعُدۡوٰنِ وَإِن يَأۡتُوكُمۡ أُسَـٰرَىٰ تُفَـٰدُوهُمۡ وَهُوَ مُحَرَّمٌ عَلَيۡكُمۡ إِخۡرَاجُهُمۡ‌ۚ أَفَتُؤۡمِنُونَ بِبَعۡضِ ٱلۡكِتَـٰبِ وَتَكۡفُرُونَ بِبَعۡضٍ‌ۚ فَمَا جَزَآءُ مَن يَفۡعَلُ ذٰلِكَ مِنكُمۡ إِلَّا خِزۡىٌ فِى ٱلۡحَيَوٰةِ ٱلدُّنۡيَا‌ۖ وَيَوۡمَ ٱلۡقِيَـٰمَةِ يُرَدُّونَ إِلَىٰٓ أَشَدِّ ٱلۡعَذَابِ‌ۗ وَمَا ٱللَّهُ بِغَـٰفِلٍ عَمَّا تَعۡمَلُونَ	θumː̃a ʔaⁿtum haːːʔulaːːʔi taqᵊtuluːna ʔaⁿfusakum watuxrid͡ʒuːna fariːqa mː̃iⁿku mː̃iⁿ dijaːrihim taðˤaːharuːna ʕalajhiᵐ bilʔiθmi walʕudᵊwaːni waʔi j̃ːaʔtuːkum ʔusaːraː tufaːduːhum wahuwa muħarːamun ʕalajkum ʔixraːd͡ʒuhum ʔafatuʔminuːna bibaʕdˤi lkitaːbi watakfuruːna bibaʕdˤiⁿ famaː d͡ʒazaːːʔu ma j̃ːafʕalu ðaːlika miⁿkum ʔilːaː xizjuⁿ fiː lħajaːti dːunjaː wajawma lqijaːmati juradːuːna ʔilaːː ʔaʃadːi lʕaðaːbi wamaː lːaːhu biɣaːfilin ʕamː̃aː taʕmaluːn
2:86	أُوۡلَـٰٓئِكَ ٱلَّذِينَ ٱشۡتَرَوُاۡ ٱلۡحَيَوٰةَ ٱلدُّنۡيَا بِٱلۡأَخِرَةِ‌ۖ فَلَا يُخَفَّفُ عَنۡهُمُ ٱلۡعَذَابُ وَلَا هُمۡ يُنصَرُونَ	ʔulaːːʔika lːaðiːna ʃtarawu lħajaːta dːunjaː bilʔaxirati falaː juxafːafu ʕanhumu lʕaðaːbu walaː hum juⁿsˤaruːn
2:87	وَلَقَدۡ ءَاتَيۡنَا مُوسَى ٱلۡكِتَـٰبَ وَقَفَّيۡنَا مِنۢ بَعۡدِهِۦ بِٱلرُّسُلِ‌ۖ وَءَاتَيۡنَا عِيسَى ٱبۡنَ مَرۡيَمَ ٱلۡبَيِّنَـٰتِ وَأَيَّدۡنَـٰهُ بِرُوحِ ٱلۡقُدُسِ‌ۗ أَفَكُلَّمَا جَآءَكُمۡ رَسُولُۢ بِمَا لَا تَهۡوَىٰٓ أَنفُسُكُمُ ٱسۡتَكۡبَرۡتُمۡ فَفَرِيقًا كَذَّبۡتُمۡ وَفَرِيقًا تَقۡتُلُونَ	walaqadᵊ ʔaːtajnaː muːsaː lkitaːba waqafːajnaː miᵐ baʕdihiː birːusuli waʔaːtajnaː ʕiːsaː bᵊna marjama lbajːinaːti waʔajːadᵊnaːhu biruːħi lqudusi ʔafakulːamaː d͡ʒaːːʔakum rasuːluᵐ bimaː laː tahwaːː ʔaⁿfusukumu stakbartum fafariːqaⁿ kaðːabᵊtum wafariːqaⁿ taqᵊtuluːn
2:88	وَقَالُواۡ قُلُوبُنَا غُلۡفُۢ‌ۚ بَل لَّعَنَهُمُ ٱللَّهُ بِكُفۡرِهِمۡ فَقَلِيلاً مَّا يُؤۡمِنُونَ	waqaːluː quluːbunaː ɣulfuᵐ ba lːaʕanahumu lːaːhu bikufrihim faqaliːla mː̃aː juʔminuːn
2:89	وَلَمَّا جَآءَهُمۡ كِتَـٰبٌ مِّنۡ عِندِ ٱللَّهِ مُصَدِّقٌ لِّمَا مَعَهُمۡ وَكَانُواۡ مِن قَبۡلُ يَسۡتَفۡتِحُونَ عَلَى ٱلَّذِينَ كَفَرُواۡ فَلَمَّا جَآءَهُم مَّا عَرَفُواۡ كَفَرُواۡ بِهِۦ‌ۚ فَلَعۡنَةُ ٱللَّهِ عَلَى ٱلۡكَـٰفِرِينَ	walamː̃aː d͡ʒaːːʔahum kitaːbu mː̃in ʕiⁿdi lːaːhi musˤadːiqu lːimaː maʕahum wakaːnuː miⁿ qabᵊlu jastaftiħuːna ʕalaː lːaðiːna kafaruː falamː̃aː d͡ʒaːːʔahu mː̃aː ʕarafuː kafaruː bihiː falaʕnatu lːaːhi ʕalaː lkaːfiriːn
2:90	بِئۡسَمَا ٱشۡتَرَوۡاۡ بِهِۦٓ أَنفُسَهُمۡ أَن يَكۡفُرُواۡ بِمَآ أَنزَلَ ٱللَّهُ بَغۡيًا أَن يُنَزِّلَ ٱللَّهُ مِن فَضۡلِهِۦ عَلَىٰ مَن يَشَآءُ مِنۡ عِبَادِهِۦ‌ۖ فَبَآءُو بِغَضَبٍ عَلَىٰ غَضَبٍ‌ۚ وَلِلۡكَـٰفِرِينَ عَذَابٌ مُّهِينٌ	biʔsamaː ʃtaraw bihiːː ʔaⁿfusahum ʔa j̃ːakfuruː bimaːː ʔaⁿzala lːaːhu baɣjan ʔa j̃ːunazːila lːaːhu miⁿ fadˤlihiː ʕalaː ma j̃ːaʃaːːʔu min ʕibaːdihiː fabaːːʔuː biɣadˤabin ʕalaː ɣadˤabi w̃ːalilkaːfiriːna ʕaðaːbu mː̃uhiːn
2:91	وَإِذَا قِيلَ لَهُمۡ ءَامِنُواۡ بِمَآ أَنزَلَ ٱللَّهُ قَالُواۡ نُؤۡمِنُ بِمَآ أُنزِلَ عَلَيۡنَا وَيَكۡفُرُونَ بِمَا وَرَآءَهُۥ وَهُوَ ٱلۡحَقُّ مُصَدِّقًا لِّمَا مَعَهُمۡ‌ۗ قُلۡ فَلِمَ تَقۡتُلُونَ أَنۢبِيَآءَ ٱللَّهِ مِن قَبۡلُ إِن كُنتُم مُّؤۡمِنِينَ	waʔiðaː qiːla lahum ʔaːminuː bimaːː ʔaⁿzala lːaːhu qaːluː nuʔminu bimaːː ʔuⁿzila ʕalajnaː wajakfuruːna bimaː waraːːʔahuː wahuwa lħaqːu musˤadːiqa lːimaː maʕahum qul falima taqᵊtuluːna ʔaᵐbijaːːʔa lːaːhi miⁿ qabᵊlu ʔiⁿ kuⁿtu mː̃uʔminiːn
